,날짜,언론사,기사제목,링크
0, 2022.12.27 10:47,이데일리,"인텔리안테크, 1주당 100원 현금배당 결정",https://finance.naver.com/item/news_read.naver?article_id=0005394767&office_id=018&code=189300&page=2&sm=
1, 2022.11.21 08:11,한국경제,"""인텔리안테크, 네옴시티 통신망 구축 수혜 예상""-하나",https://finance.naver.com/item/news_read.naver?article_id=0004777110&office_id=015&code=189300&page=2&sm=
2, 2022.09.28 14:10,이데일리,"인텔리안테크, 50억원 규모 자기주식취득 신탁계약",https://finance.naver.com/item/news_read.naver?article_id=0005328089&office_id=018&code=189300&page=2&sm=
3, 2022.09.01 17:41,이데일리,"인텔리안테크, 112억 규모 위성통신안테나 공급계약 체결",https://finance.naver.com/item/news_read.naver?article_id=0005307430&office_id=018&code=189300&page=2&sm=
4, 2022.08.16 14:48,이데일리,"인텔리안테크, 260.6억원 규모 위성통신안테나 공급계약",https://finance.naver.com/item/news_read.naver?article_id=0005293278&office_id=018&code=189300&page=2&sm=
5, 2022.08.12 11:17,머니투데이,"인텔리안테크, 2Q 매출액 570억원…전년比 88%↑(상보)",https://finance.naver.com/item/news_read.naver?article_id=0004782429&office_id=008&code=189300&page=2&sm=
6, 2022.08.05 16:17,아시아경제,"인텔리안테크,4억원 규모 자사주 처분 결정",https://finance.naver.com/item/news_read.naver?article_id=0005128641&office_id=277&code=189300&page=2&sm=
7, 2022.08.05 15:48,헤럴드경제,"인텔리안테크, 4억 규모 자사주 처분 결정",https://finance.naver.com/item/news_read.naver?article_id=0002025115&office_id=016&code=189300&page=2&sm=
8, 2022.05.23 07:46,머니투데이,"인텔리안테크, 하반기 원웹향 매출 발생 여부 주목-KB증권",https://finance.naver.com/item/news_read.naver?article_id=0004749257&office_id=008&code=189300&page=2&sm=
9, 2022.05.23 07:26,아시아경제,"[클릭 e종목]""인텔리안테크, 하반기 원웹향 매출 본격 발생 전망""",https://finance.naver.com/item/news_read.naver?article_id=0005092525&office_id=277&code=189300&page=2&sm=
